onset	duration	trial_type
0.000000	9.369871	baseline
9.369871	7.495947	stim-12
16.865818	9.370962	baseline
26.236780	7.495906	stim-03
33.732686	9.370119	baseline
43.102805	7.497123	stim-10
50.599928	9.369941	baseline
59.969869	7.495898	stim-06
67.465767	9.370998	baseline
76.836765	7.496086	stim-11
84.332851	9.369805	baseline
93.702655	7.497069	stim-07
101.199724	9.369937	baseline
110.569661	7.496602	stim-01
118.066263	9.370595	baseline
127.436858	7.495939	stim-02
134.932797	9.369942	baseline
144.302739	7.496877	stim-05
151.799616	9.370043	baseline
161.169658	7.497143	stim-08
168.666801	9.369921	baseline
178.036722	7.496026	stim-09
185.532748	9.370975	baseline
194.903724	7.495964	stim-04
202.399688	9.363035	baseline
