onset	duration	trial_type
0.000000	9.369547	baseline
9.369547	7.497149	stim-11
16.866696	9.370133	baseline
26.236830	7.495993	stim-06
33.732823	9.370759	baseline
43.103582	7.496013	stim-10
50.599595	9.371452	baseline
59.971048	7.495565	stim-12
67.466613	9.369919	baseline
76.836532	7.496980	stim-01
84.333512	9.369975	baseline
93.703486	7.495977	stim-05
101.199464	9.370980	baseline
110.570444	7.496274	stim-09
118.066718	9.369763	baseline
127.436481	7.496943	stim-02
134.933424	9.370298	baseline
144.303722	7.495754	stim-04
151.799476	9.370962	baseline
161.170438	7.495849	stim-07
168.666287	9.370007	baseline
178.036294	7.497344	stim-03
185.533639	9.369733	baseline
194.903371	7.496254	stim-08
202.399625	9.362556	baseline
