onset	duration	trial_type
0.000000	9.370745	baseline
9.370745	7.495919	stim-12
16.866665	9.370032	baseline
26.236696	7.496883	stim-03
33.733579	9.370125	baseline
43.103704	7.496098	stim-10
50.599802	9.370893	baseline
59.970695	7.496049	stim-06
67.466744	9.370005	baseline
76.836749	7.496906	stim-11
84.333655	9.370040	baseline
93.703695	7.496092	stim-07
101.199788	9.370996	baseline
110.570784	7.495985	stim-01
118.066769	9.370111	baseline
127.436880	7.496898	stim-02
134.933778	9.369960	baseline
144.303738	7.496112	stim-05
151.799850	9.370977	baseline
161.170827	7.495970	stim-08
168.666796	9.370081	baseline
178.036878	7.496951	stim-09
185.533829	9.370023	baseline
194.903852	7.495899	stim-04
202.399751	9.363560	baseline
