onset	duration	trial_type
0.000000	9.370676	baseline
9.370676	7.495857	stim-06
16.866533	9.370102	baseline
26.236635	7.496958	stim-09
33.733594	9.369981	baseline
43.103575	7.496148	stim-10
50.599722	9.370830	baseline
59.970552	7.495968	stim-03
67.466520	9.370099	baseline
76.836619	7.496928	stim-07
84.333548	9.369998	baseline
93.703545	7.495979	stim-05
101.199524	9.370937	baseline
110.570461	7.496338	stim-01
118.066799	9.370642	baseline
127.437441	7.495879	stim-12
134.933320	9.370087	baseline
144.303408	7.497014	stim-08
151.800422	9.370130	baseline
161.170552	7.495921	stim-04
168.666473	9.371104	baseline
178.037577	7.495905	stim-02
185.533482	9.369872	baseline
194.903353	7.497330	stim-11
202.400683	9.363396	baseline
