bold_stem	subject	session	task	run	has_pulse	has_resp
sub-062_ses-01_task-movie_run-01	sub-062	ses-01	movie	01	0	0
sub-062_ses-01_task-movie_run-03	sub-062	ses-01	movie	03	0	0
sub-062_ses-01_task-movie_run-05	sub-062	ses-01	movie	05	0	0
sub-062_ses-01_task-movie_run-07	sub-062	ses-01	movie	07	0	0
sub-062_ses-01_task-rest_run-01	sub-062	ses-01	rest	01	0	0
sub-063_ses-01_task-control_run-01	sub-063	ses-01	control	01	0	0
sub-063_ses-01_task-control_run-03	sub-063	ses-01	control	03	0	0
sub-063_ses-01_task-rest_run-01	sub-063	ses-01	rest	01	0	0
sub-065_ses-01_task-control_run-03	sub-065	ses-01	control	03	0	0
sub-065_ses-01_task-control_run-05	sub-065	ses-01	control	05	0	0
sub-065_ses-01_task-rest_run-01	sub-065	ses-01	rest	01	0	0
sub-068_ses-01_task-control_run-03	sub-068	ses-01	control	03	0	0
sub-068_ses-01_task-control_run-05	sub-068	ses-01	control	05	0	0
sub-068_ses-02_task-control_run-03	sub-068	ses-02	control	03	0	0
