filepath	filename	size_bytes	sha256	modified_date	contains_subject_identifier	contains_date	contains_absolute_path	review_status
/lustre06/project/6001995/raw_original/Control/SUBC08-Session2-2023DEC11/SUBC08-Session2-2023DC11-MATLAB/4-resting state/main.m	main.m	6317	eb495c47ef84a9f514f4abfdbb3286eafc66ebec865bdde3bb92b488523dccc3	2023-12-11T16:20:44+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC09-Session1-2023JUN08/SUBC09_Session01_2023JUN08_Matlab/4-resting state/main.m	main.m	6267	74778260f4f032759fcd2c8710b6a7fce85209be1b63257f0540cbe1cb324253	2023-05-04T14:32:12+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC09_Session02_2023DEC02/SUBC09_Session02_2023DEC02_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-12-01T16:05:32+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC10-Session1-2023JUL05/SUBC10_Session01_2023JUL05_Matlab/4-resting state/main.m	main.m	6267	74778260f4f032759fcd2c8710b6a7fce85209be1b63257f0540cbe1cb324253	2023-05-04T14:32:12+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC11-Session1-2023JUL11/SUBC11_Session01_2023JUL11_Matlab/4-resting state/main.m	main.m	6267	74778260f4f032759fcd2c8710b6a7fce85209be1b63257f0540cbe1cb324253	2023-05-04T14:32:12+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC11_Session02_2024JAN10/SUBC11_Session01_2024JAN10_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-12-01T16:05:32+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC12-Session01-2023JUL12/SUBC12_Session01_2023JUL12_Matlab/4-resting state/main.m	main.m	6267	74778260f4f032759fcd2c8710b6a7fce85209be1b63257f0540cbe1cb324253	2023-05-04T14:32:12+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC12_Session02_2024JAN09/SUBC12-Session2_2024JAN09_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-12-01T16:05:32+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC13-Session1-2023JUL17/SUBC13_Session01_2023JUL17_Matlab/4-resting state/main.m	main.m	6310	b705994ee3aab5a70aebcd7ec66f44f5bbb06ad00f6d06bf94e170c3d5505520	2023-07-17T16:02:24+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC14-Session1-2023JUL19/SUBC14_Session01_2023JUL19_Matlab/4-resting state/main.m	main.m	6310	b705994ee3aab5a70aebcd7ec66f44f5bbb06ad00f6d06bf94e170c3d5505520	2023-07-19T18:33:58+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC15-Session1-2023AUG07/subC015-Session01_2023AUG07_Matlab/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-08-07T14:43:02+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC15_Session02_2024FEB08/SUBC15_SESSION02_2024FEB8_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-12-01T16:05:32+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC16-SESSION2-2024FEB07/SUBC016-Session02-2023FEB07_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-12-01T16:05:32+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC16-Session1-2023AUG08/SUBC16_Session01_2023AUG08_Matlab/4-resting state/main.m	main.m	6310	9aaad8cfb1c13e02b6c562efbb6ec412565d28eae2b8474647e3b88b46c34b77	2023-08-08T19:33:42+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC17-Session1-2023AUG18/SUBC17_Control_Session01_2023AUG18_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-08-18T21:25:08+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC17_Session02_2024APR09/SUBC17_Session02_2024APR09_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-12-01T16:05:32+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC18-Session1-2023AUG28/SUBC018_Control_Session01_2023AUG28_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-08-07T14:43:02+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC20-Session1_2023SEP07/SUB020_Session01_2023SEP07_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-08-07T14:43:02+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC20_Session02_2024MAR05/SUBC20_Session02_2024MAR5_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-12-01T16:05:32+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC21-Session1-2023SEP09/SUBC021_Session01_2023SEP09_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-08-07T14:43:02+00:00	no	no	no	PASS_CANONICAL
