subject	session	protocol	series_number	series_time	has_EXT	sampling_frequency	start_time	n_samples	trigger_count	first_trigger	last_trigger	trigger_interval_mean	trigger_interval_std	unique_values	usable_for_sync	usable_for_stimulus_onset	comments	filepath
sub-008	ses-01	Movie2_AP	29	104825.447000	no	125.000000	15483134	0	0						FALSE	FALSE		<RAW>/Control/SUBC08-Session1-2023Jun02/SUBC08_Session01_2023JUN02_NII/MOVIE2_AP_PHYSIOLOG_0029/SUBC08_SESSION01_2023JUN02.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2023.06.02.12.55.33.892098.134521933.IMA
sub-006	ses-02	Movie2_AP	29	180011.080000	no	125.000000	25845551	0	0						FALSE	FALSE		<RAW>/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Data/MOVIE2_AP_PHYSIOLOG_0029/SUBC06_SESSION02_2023DEC14.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2023.12.14.19.07.34.149995.5002313.IMA
sub-008	ses-02	Movie1_AP	25	105418.955000	no	125.000000	15624596	0	0						FALSE	FALSE		<RAW>/Control/SUBC08-Session2-2023DEC11/SUBC08_Session2_2023DEC11_Data/MOVIE1_AP_PHYSIOLOG_0025/SUBC08-SESSION2-2023DEC11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0025.0001.2023.12.11.11.51.14.698222.3102791.IMA
sub-006	ses-02	Movie4_AP	41	180927.688000	no	125.000000	26068116	0	0						FALSE	FALSE		<RAW>/Control/SUBC06_Session02_2023DEC14/SUBC06_Session02_2023DEC14_Data/MOVIE4_AP_PHYSIOLOG_0041/SUBC06_SESSION02_2023DEC14.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0041.0001.2023.12.14.19.07.34.149995.5104721.IMA
sub-008	ses-02	Movie4_AP	41	110901.889000	no	125.000000	15977727	0	0						FALSE	FALSE		<RAW>/Control/SUBC08-Session2-2023DEC11/SUBC08_Session2_2023DEC11_Data/MOVIE4_AP_PHYSIOLOG_0041/SUBC08-SESSION2-2023DEC11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0041.0001.2023.12.11.11.51.14.698222.3255377.IMA
sub-008	ses-02	Movie3_AP	37	110449.531000	no	125.000000	15876789	0	0						FALSE	FALSE		<RAW>/Control/SUBC08-Session2-2023DEC11/SUBC08_Session2_2023DEC11_Data/MOVIE3_AP_PHYSIOLOG_0037/SUBC08-SESSION2-2023DEC11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2023.12.11.11.51.14.698222.3205199.IMA
sub-009	ses-02	Movie1_AP	26	143816.272000	yes	125.000000	20999271	451	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC09_Session02_2023DEC02/SUBC09_Session02_2023DEC02_NII/MOVIE1_AP_PHYSIOLOG_0026/SUBC09_SESSION02_2023DEC02.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0026.0001.2023.12.02.15.40.45.472792.81237125.IMA
sub-012	ses-02	Movie2_AP	26	114819.048000	no	125.000000	NA	0	0						FALSE	FALSE		<RAW>/Control/SUBC12_Session02_2024JAN09/SUBC12_SESSION02_2024JAN09-NII/MOVIE2_AP_PHYSIOLOG_0026/SUBC12_SESSION2_2024JAN09.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0026.0001.2024.02.03.12.51.58.482879.9347164.IMA
sub-011	ses-01	Movie3_AP	41	131005.843000	yes	125.000000	18883246	463	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC11-Session1-2023JUL11/SUBC11_Session01_2023JUL11_NII/MOVIE3_AP_PHYSIOLOG_0041/SUBC11_CONTROL_2023JUL11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0041.0001.2023.07.12.12.25.56.816342.10333265.IMA
sub-011	ses-01	Movie1_AP	33	125655.235000	yes	125.000000	18566881	462	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC11-Session1-2023JUL11/SUBC11_Session01_2023JUL11_NII/MOVIE1_AP_PHYSIOLOG_0033/SUBC11_CONTROL_2023JUL11.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0033.0001.2023.07.12.12.25.56.816342.10234957.IMA
sub-009	ses-02	Movie3_AP	38	144700.694000	yes	125.000000	21209367	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC09_Session02_2023DEC02/SUBC09_Session02_2023DEC02_NII/MOVIE3_AP_PHYSIOLOG_0038/SUBC09_SESSION02_2023DEC02.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0038.0001.2023.12.02.15.40.45.472792.81340557.IMA
sub-007	ses-02	Movie3_AP	37	153109.429000	yes	125.000000	22268512	452	1	0.000000	0.000000			1,8	FALSE	FALSE	EXT_sparse_digital_marker_not_volume_train	<RAW>/Control/SUBC07-Session2-2023NOV24/SUBC07-Session2-2023NOV24-NII/MOVIE3_AP_PHYSIOLOG_0037/SUB07-SESSION2-2023NOV24.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0037.0001.2023.11.24.16.13.41.954524.74041503.IMA
