subject	session	bids_run	ProtocolName	n_volumes	TR	PhysioLog_available	EXT_available	EXT_usable_for_scanner_sync	MATLAB_timing_available	Peripheral_EXT_available	DICOM_stimulus_trigger_available	flag_A_matlab_full	flag_B_physio_ext_sync	flag_C_peripheral	flag_D_dicom_stim	classification
sub-005	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-02	run-01	Movie1_AP		0.937	yes	no	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-02	run-03	Movie2_AP		0.937	yes	no	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-02	run-05	Movie3_AP		0.937	yes	no	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-006	ses-02	run-07	Movie4_AP		0.937	yes	no	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-01	run-01	Movie1_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-01	run-03	Movie2_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-01	run-05	Movie3_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-01	run-07	Movie4_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-01	run-09	Movie4_AP_redo_cuz_gogle_moved		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-007	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-008	ses-01	run-01	Movie1_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-008	ses-01	run-03	Movie2_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-008	ses-01	run-05	Movie3_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-008	ses-01	run-07	Movie4_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-008	ses-02	run-01	Movie1_AP		0.937	yes	no	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-008	ses-02	run-03	Movie2_AP		0.937	yes	no	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-008	ses-02	run-05	Movie3_AP		0.937	yes	no	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-008	ses-02	run-07	Movie4_AP		0.937	yes	no	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-009	ses-01	run-01	Movie1_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-009	ses-01	run-03	Movie2_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-009	ses-01	run-05	Movie3_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-009	ses-01	run-07	Movie4_AP		0.937	yes	no	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-009	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-009	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-009	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-009	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-010	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-010	ses-01	run-03	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-011	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-011	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-011	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-011	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-011	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-011	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-011	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-011	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-012	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-012	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-012	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-012	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-012	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-012	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-012	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-012	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-013	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-013	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-013	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-013	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-014	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-014	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-014	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-014	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-015	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-015	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-015	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-015	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-015	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-015	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-015	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-015	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-016	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-016	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-016	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-016	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-016	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-016	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-016	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-016	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-017	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-017	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-017	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-017	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-017	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-017	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-017	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-017	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-018	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-018	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-018	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-018	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-019	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-019	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-019	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-019	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	no	no	no	no	no	no	INSUFFICIENT_FOR_EVENTS
sub-019	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-019	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-019	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-019	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-020	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-020	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-020	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-020	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-021	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-021	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-021	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-021	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-021	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-021	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-021	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-021	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-022	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-022	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-022	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-022	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-022	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-022	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-022	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-022	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-023	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-023	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-023	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-023	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-023	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-023	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-023	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-023	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-024	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-024	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-024	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-024	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-024	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-024	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-024	ses-02	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-024	ses-02	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-025	ses-01	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-025	ses-01	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-025	ses-01	run-05	Movie3_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-025	ses-01	run-07	Movie4_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-025	ses-02	run-01	Movie1_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
sub-025	ses-02	run-03	Movie2_AP		0.937	yes	yes	FALSE	partial_run_id	yes	no	no	no	yes	no	INSUFFICIENT_FOR_EVENTS
